"Test Case ID","Module","Scenario","Steps","Expected Result","Priority","Severity","Status","QA Notes","Bug ID","Retest Status","Tested By","Test Date"
"TC-AUTH-001","Authentication","Successful login with valid credentials","1. Launch app | 2. Wait for session check | 3. Enter email farmer@test.com | 4. Enter password Test@1234 | 5. Tap Login","HomeScreen loads; farm data visible; bottom nav shows 3 tabs; no error snackbar","P0","S1","","","","","",""
"TC-AUTH-002","Authentication","Wrong password shows user-friendly error","1. Open Login | 2. Enter valid email | 3. Enter WrongPass999 | 4. Tap Login","Friendly error shown; no raw Supabase error code; stays on Login screen; no crash","P0","S1","","","","","",""
"TC-AUTH-003","Authentication","Session persists across force-close and relaunch","1. Log in | 2. Verify HomeScreen | 3. Force-close app from OS | 4. Relaunch app","Navigates directly to HomeScreen; no re-login required; existing farm data visible","P0","S1","","","","","",""
"TC-AUTH-004","Authentication","Onboarding shown once on first install only","1. Fresh install, clear SharedPrefs | 2. Launch app | 3. Complete 3-slide onboarding | 4. Relaunch app","Onboarding shown first launch only; never shown again; has_seen_onboarding flag set before navigation","P1","S3","","","","","",""
"TC-AUTH-005","Authentication","New user signup creates account and navigates home","1. Switch to Signup mode | 2. Enter unique email + password | 3. Tap Create Account","Account created; navigates to HomeScreen; empty state shown; users table row inserted with correct user_id","P1","S1","","","","","",""
"TC-AUTH-006","Authentication","Rate limiting after repeated failed logins","1. Enter wrong password 6 times rapidly | 2. Attempt 7th login","Rate-limit message shown in plain language; no crash; app remains usable; no internal error codes exposed","P2","S3","","","","","",""
"TC-FARM-001","Farm Management","Create first farm successfully","1. Tap Add Farm | 2. Enter name: Coastal Shrimp Farm + location: Nellore AP | 3. Tap Create Farm","Farm created; farms table row with correct user_id inserted; HomeScreen reflects new farm in header","P0","S1","","","","","",""
"TC-FARM-002","Farm Management","FREE tier farm limit blocks second farm creation","1. FREE user with 1 farm | 2. Attempt to create 2nd farm","farm_limit_bottom_sheet appears before form shown; upgrade CTA visible; 2 dismissals allowed before 24h lock","P0","S1","","","","","",""
"TC-FARM-003","Farm Management","Edit farm name updates all UI references immediately","1. Navigate to farm settings | 2. Change name to Delta Aqua Farm | 3. Save","Name updated in DB; all UI references (header, switcher, profile list) reflect new name without restart","P1","S3","","","","","",""
"TC-FARM-004","Farm Management","Delete farm cascades to all child records","1. Farm with 2 ponds with full data history | 2. Tap Delete Farm | 3. Confirm deletion","All child records deleted via delete_farm_cascade RPC; farm removed; no orphaned rows in any table","P1","S2","","","","","",""
"TC-FARM-005","Farm Management","Farm switcher changes active farm data context","1. PRO user with Farm A (2 ponds) and Farm B (1 pond) | 2. Open farm switcher | 3. Select Farm B","HomeScreen shows Farm B's 1 pond; KPIs recalculate for Farm B; no Farm A data mixed in","P2","S2","","","","","",""
"TC-POND-001","Pond Management","Create pond with atomic feed schedule via RPC","1. Tap Add Pond | 2. Fill: name, area=1.2ac, seed=150K, PL10, stocking=today, HatcherySmall, trays=4, feed brand | 3. Tap Create","Pond + 30 feed_rounds created atomically; pond card on HomeScreen; Feed tab shows full DOC 1-30 schedule","P0","S1","","","","","",""
